t,price,volume,action_fraction,shares_traded,inventory_remaining,participation_rate,execution_price,step_cost,cumulative_cost,reward,policy,test_day
0,722.29,1322934.0,0.0,0.0,100000.0,0.0,722.29,0.0,0.0,-1.0,DQN,2026-05-05
1,722.06,570282.0,0.0,0.0,100000.0,0.0,722.06,-0.0,0.0,-1.0,DQN,2026-05-05
2,722.23,535992.0,0.0,0.0,100000.0,0.0,722.23,-0.0,0.0,-1.0,DQN,2026-05-05
3,722.16,433731.0,0.0,0.0,100000.0,0.0,722.16,-0.0,0.0,-1.0,DQN,2026-05-05
4,722.37,737890.0,0.0,0.0,100000.0,0.0,722.37,0.0,0.0,-1.0,DQN,2026-05-05
5,722.53,329943.0,0.0,0.0,100000.0,0.0,722.53,0.0,0.0,-1.0,DQN,2026-05-05
6,722.75,777965.0,0.0,0.0,100000.0,0.0,722.75,0.0,0.0,-1.0,DQN,2026-05-05
7,723.1837,381333.0,0.0,0.0,100000.0,0.0,723.1837,0.0,0.0,-1.0,DQN,2026-05-05
8,722.315,712819.0,0.043000000000000003,4300.0,95700.0,0.006032386903267169,722.3153016193452,108.79696318442029,108.79696318442029,-109.7128125483172,DQN,2026-05-05
9,722.145,665803.0,0.05,5000.0,90700.0,0.007509728853730007,722.1453754864426,-723.1225677867315,-614.3256046023112,722.2999182227712,DQN,2026-05-05
10,723.18,486541.0,0.0,0.0,90700.0,0.0,723.18,0.0,-614.3256046023112,-0.8226490000000001,DQN,2026-05-05
11,723.29,385083.0,0.0,0.0,90700.0,0.0,723.29,0.0,-614.3256046023112,-0.8226490000000001,DQN,2026-05-05
12,723.02,402550.0,0.0,0.0,90700.0,0.0,723.02,0.0,-614.3256046023112,-0.8226490000000001,DQN,2026-05-05
13,722.675,415892.0,0.043000000000000003,4300.0,86400.0,0.010339222682811884,722.6755169611341,1657.7229328768794,1043.3973282745683,-1658.4694299458747,DQN,2026-05-05
14,722.7,418338.0,0.043000000000000003,4300.0,82100.0,0.01027876979858392,722.70051393849,1765.2099355069936,2808.607263781562,-1765.8839775635247,DQN,2026-05-05
15,722.72,461454.0,0.01,1000.0,81100.0,0.0021670632392394476,722.720108353162,430.10835316204066,3238.7156169436025,-430.7660742090023,DQN,2026-05-05
16,722.9399,219643.0,0.0,0.0,81100.0,0.0,722.9399,0.0,3238.7156169436025,-0.657721,DQN,2026-05-05
17,723.14,245387.0,0.0,0.0,81100.0,0.0,723.14,0.0,3238.7156169436025,-0.657721,DQN,2026-05-05
18,723.5,273736.0,0.0,0.0,81100.0,0.0,723.5,0.0,3238.7156169436025,-0.657721,DQN,2026-05-05
19,723.32,1318581.0,0.0,0.0,81100.0,0.0,723.32,0.0,3238.7156169436025,-0.657721,DQN,2026-05-05
20,723.55,208359.0,0.0,0.0,81100.0,0.0,723.55,0.0,3238.7156169436025,-0.657721,DQN,2026-05-05
21,723.375,179161.0,0.0,0.0,81100.0,0.0,723.375,0.0,3238.7156169436025,-0.657721,DQN,2026-05-05
22,723.17,234163.0,0.01,1000.0,80100.0,0.004270529502953071,723.1702135264751,880.2135264751314,4118.929143418734,-880.8551276575057,DQN,2026-05-05
23,723.48,388009.0,0.0,0.0,80100.0,0.0,723.48,0.0,4118.929143418734,-0.641601,DQN,2026-05-05
24,722.97,235589.0,0.043000000000000003,4300.0,75800.0,0.018252125523687438,722.9709126062762,2927.924206987882,7046.853350406616,-2928.498774319283,DQN,2026-05-05
25,723.13,252344.0,0.0,0.0,75800.0,0.0,723.13,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
26,723.12,128554.0,0.0,0.0,75800.0,0.0,723.12,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
27,723.325,182540.0,0.0,0.0,75800.0,0.0,723.325,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
28,723.245,168873.0,0.0,0.0,75800.0,0.0,723.245,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
29,723.04,156723.0,0.0,0.0,75800.0,0.0,723.04,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
30,723.32,157037.0,0.0,0.0,75800.0,0.0,723.32,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
31,723.5,185932.0,0.0,0.0,75800.0,0.0,723.5,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
32,723.505,138329.0,0.0,0.0,75800.0,0.0,723.505,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
33,723.59,144749.0,0.0,0.0,75800.0,0.0,723.59,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
34,723.7,312864.0,0.0,0.0,75800.0,0.0,723.7,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
35,723.58,253647.0,0.0,0.0,75800.0,0.0,723.58,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
36,723.5,218729.0,0.0,0.0,75800.0,0.0,723.5,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
37,723.42,168517.0,0.0,0.0,75800.0,0.0,723.42,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
38,723.4399,169257.0,0.0,0.0,75800.0,0.0,723.4399,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
39,723.61,150667.0,0.0,0.0,75800.0,0.0,723.61,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
40,723.535,167800.0,0.0,0.0,75800.0,0.0,723.535,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
41,723.47,129567.0,0.0,0.0,75800.0,0.0,723.47,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
42,723.49,113901.0,0.0,0.0,75800.0,0.0,723.49,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
43,723.23,166056.0,0.0,0.0,75800.0,0.0,723.23,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
44,723.27,147948.0,0.0,0.0,75800.0,0.0,723.27,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
45,723.57,234089.0,0.0,0.0,75800.0,0.0,723.57,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
46,723.575,247945.0,0.0,0.0,75800.0,0.0,723.575,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
47,723.855,168270.0,0.0,0.0,75800.0,0.0,723.855,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
48,723.79,219094.0,0.0,0.0,75800.0,0.0,723.79,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
49,723.815,165012.0,0.0,0.0,75800.0,0.0,723.815,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
50,723.86,369194.0,0.0,0.0,75800.0,0.0,723.86,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
51,723.9,168939.0,0.0,0.0,75800.0,0.0,723.9,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
52,724.09,459324.0,0.0,0.0,75800.0,0.0,724.09,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
53,724.01,182674.0,0.0,0.0,75800.0,0.0,724.01,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
54,724.17,227609.0,0.0,0.0,75800.0,0.0,724.17,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
55,724.24,270735.0,0.0,0.0,75800.0,0.0,724.24,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
56,724.62,281368.0,0.0,0.0,75800.0,0.0,724.62,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
57,724.49,289019.0,0.0,0.0,75800.0,0.0,724.49,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
58,724.5,233129.0,0.0,0.0,75800.0,0.0,724.5,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
59,724.475,125083.0,0.0,0.0,75800.0,0.0,724.475,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
60,724.27,274531.0,0.0,0.0,75800.0,0.0,724.27,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
61,724.135,161390.0,0.0,0.0,75800.0,0.0,724.135,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
62,724.26,166071.0,0.0,0.0,75800.0,0.0,724.26,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
63,724.4,193606.0,0.0,0.0,75800.0,0.0,724.4,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
64,724.28,211307.0,0.0,0.0,75800.0,0.0,724.28,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
65,724.32,188237.0,0.0,0.0,75800.0,0.0,724.32,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
66,724.49,177046.0,0.0,0.0,75800.0,0.0,724.49,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
67,724.72,272618.0,0.0,0.0,75800.0,0.0,724.72,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
68,724.75,560340.0,0.0,0.0,75800.0,0.0,724.75,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
69,724.88,358092.0,0.0,0.0,75800.0,0.0,724.88,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
70,724.94,403094.0,0.0,0.0,75800.0,0.0,724.94,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
71,724.72,401989.0,0.0,0.0,75800.0,0.0,724.72,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
72,724.675,523700.0,0.0,0.0,75800.0,0.0,724.675,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
73,724.76,698522.0,0.0,0.0,75800.0,0.0,724.76,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
74,724.7499,434549.0,0.0,0.0,75800.0,0.0,724.7499,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
75,724.4799,653191.0,0.0,0.0,75800.0,0.0,724.4799,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
76,723.7,1615734.0,0.0,0.0,75800.0,0.0,723.7,0.0,7046.853350406616,-0.5745640000000001,DQN,2026-05-05
77,723.74,3041588.0,0.002,75800.0,0.0,0.024921192482348038,723.7412460596241,110004.45131951194,117051.30466991855,-110004.45132572259,DQN,2026-05-05
0,729.1301,1364660.0,0.0,0.0,100000.0,0.0,729.1301,0.0,0.0,-1.0,DQN,2026-05-06
1,729.08,577040.0,0.0,0.0,100000.0,0.0,729.08,-0.0,0.0,-1.0,DQN,2026-05-06
2,729.13,592650.0,0.0,0.0,100000.0,0.0,729.13,-0.0,0.0,-1.0,DQN,2026-05-06
3,729.0795,527882.0,0.0,0.0,100000.0,0.0,729.0795,-0.0,0.0,-1.0,DQN,2026-05-06
4,729.66,650080.0,0.0,0.0,100000.0,0.0,729.66,0.0,0.0,-1.0,DQN,2026-05-06
5,729.65,413850.0,0.0,0.0,100000.0,0.0,729.65,0.0,0.0,-1.0,DQN,2026-05-06
6,729.395,418230.0,0.01,1000.0,99000.0,0.002391028859718337,729.3951195514429,265.019551442947,265.019551442947,-265.9996515001172,DQN,2026-05-06
7,729.75,566816.0,0.0,0.0,99000.0,0.0,729.75,0.0,265.019551442947,-0.9801000000000001,DQN,2026-05-06
8,730.08,697109.0,0.0,0.0,99000.0,0.0,730.08,0.0,265.019551442947,-0.9801000000000001,DQN,2026-05-06
9,729.74,482788.0,0.01,1000.0,98000.0,0.002071302517875341,729.7401035651259,610.0035651259077,875.0231165688547,-610.9639651688107,DQN,2026-05-06
10,730.25,571039.0,0.0,0.0,98000.0,0.0,730.25,0.0,875.0231165688547,-0.9604,DQN,2026-05-06
11,730.02,451465.0,0.0,0.0,98000.0,0.0,730.02,0.0,875.0231165688547,-0.9604,DQN,2026-05-06
12,730.96,498201.0,0.0,0.0,98000.0,0.0,730.96,0.0,875.0231165688547,-0.9604,DQN,2026-05-06
13,731.24,485924.0,0.0,0.0,98000.0,0.0,731.24,0.0,875.0231165688547,-0.9604,DQN,2026-05-06
14,731.86,628941.0,0.0,0.0,98000.0,0.0,731.86,0.0,875.0231165688547,-0.9604,DQN,2026-05-06
15,731.79,456280.0,0.0,0.0,98000.0,0.0,731.79,0.0,875.0231165688547,-0.9604,DQN,2026-05-06
16,731.94,441432.0,0.0,0.0,98000.0,0.0,731.94,0.0,875.0231165688547,-0.9604,DQN,2026-05-06
17,732.1501,465707.0,0.0,0.0,98000.0,0.0,732.1501,0.0,875.0231165688547,-0.9604,DQN,2026-05-06
18,732.32,475232.0,0.0,0.0,98000.0,0.0,732.32,0.0,875.0231165688547,-0.9604,DQN,2026-05-06
19,731.86,433129.0,0.0,0.0,98000.0,0.0,731.86,0.0,875.0231165688547,-0.9604,DQN,2026-05-06
20,731.7426,409007.0,0.01,1000.0,97000.0,0.0024449459300207575,731.7427222472966,2612.622247296599,3487.645363865454,-2613.5631473563767,DQN,2026-05-06
21,732.19,544210.0,0.0,0.0,97000.0,0.0,732.19,0.0,3487.645363865454,-0.9409000000000001,DQN,2026-05-06
22,732.235,428885.0,0.0,0.0,97000.0,0.0,732.235,0.0,3487.645363865454,-0.9409000000000001,DQN,2026-05-06
23,732.05,311647.0,0.0,0.0,97000.0,0.0,732.05,0.0,3487.645363865454,-0.9409000000000001,DQN,2026-05-06
24,731.97,422301.0,0.0,0.0,97000.0,0.0,731.97,0.0,3487.645363865454,-0.9409000000000001,DQN,2026-05-06
25,731.475,270567.0,0.05,5000.0,92000.0,0.01847971112515569,731.4759239855563,11729.11992778154,15216.765291646992,-11729.966331196538,DQN,2026-05-06
26,731.33,504822.0,0.05,5000.0,87000.0,0.009904481183466648,731.3304952240592,11001.976120296036,26218.74141194303,-11002.733021277025,DQN,2026-05-06
27,731.5499,282284.0,0.0,0.0,87000.0,0.0,731.5499,0.0,26218.74141194303,-0.7569,DQN,2026-05-06
28,731.77,220716.0,0.0,0.0,87000.0,0.0,731.77,0.0,26218.74141194303,-0.7569,DQN,2026-05-06
29,731.64,238035.0,0.0,0.0,87000.0,0.0,731.64,0.0,26218.74141194303,-0.7569,DQN,2026-05-06
30,731.8,220495.0,0.0,0.0,87000.0,0.0,731.8,0.0,26218.74141194303,-0.7569,DQN,2026-05-06
31,731.63,171191.0,0.0,0.0,87000.0,0.0,731.63,0.0,26218.74141194303,-0.7569,DQN,2026-05-06
32,731.915,433568.0,0.0,0.0,87000.0,0.0,731.915,0.0,26218.74141194303,-0.7569,DQN,2026-05-06
33,731.84,260829.0,0.0,0.0,87000.0,0.0,731.84,0.0,26218.74141194303,-0.7569,DQN,2026-05-06
34,731.86,169861.0,0.0,0.0,87000.0,0.0,731.86,0.0,26218.74141194303,-0.7569,DQN,2026-05-06
35,731.77,148314.0,0.0,0.0,87000.0,0.0,731.77,0.0,26218.74141194303,-0.7569,DQN,2026-05-06
36,731.76,156900.0,0.0,0.0,87000.0,0.0,731.76,0.0,26218.74141194303,-0.7569,DQN,2026-05-06
37,731.6701,148113.0,0.0,0.0,87000.0,0.0,731.6701,0.0,26218.74141194303,-0.7569,DQN,2026-05-06
38,731.595,170443.0,0.0,0.0,87000.0,0.0,731.595,0.0,26218.74141194303,-0.7569,DQN,2026-05-06
39,731.34,274997.0,0.0,0.0,87000.0,0.0,731.34,0.0,26218.74141194303,-0.7569,DQN,2026-05-06
40,730.8813,290528.0,0.05,5000.0,82000.0,0.0172100451591585,730.882160502258,8760.302511290092,34979.04392323312,-8760.974914251949,DQN,2026-05-06
41,730.985,305217.0,0.0,0.0,82000.0,0.0,730.985,0.0,34979.04392323312,-0.6724,DQN,2026-05-06
42,731.25,406725.0,0.0,0.0,82000.0,0.0,731.25,0.0,34979.04392323312,-0.6724,DQN,2026-05-06
43,731.47,308852.0,0.0,0.0,82000.0,0.0,731.47,0.0,34979.04392323312,-0.6724,DQN,2026-05-06
44,731.535,325137.0,0.0,0.0,82000.0,0.0,731.535,0.0,34979.04392323312,-0.6724,DQN,2026-05-06
45,731.58,195105.0,0.0,0.0,82000.0,0.0,731.58,0.0,34979.04392323312,-0.6724,DQN,2026-05-06
46,731.66,181700.0,0.0,0.0,82000.0,0.0,731.66,0.0,34979.04392323312,-0.6724,DQN,2026-05-06
47,731.68,165708.0,0.0,0.0,82000.0,0.0,731.68,0.0,34979.04392323312,-0.6724,DQN,2026-05-06
48,731.75,304010.0,0.0,0.0,82000.0,0.0,731.75,0.0,34979.04392323312,-0.6724,DQN,2026-05-06
