Open,High,Low,Close,Volume,symbol,source_month
676.8247,679.597,676.1466,679.3178,2875190,SPY,2026-03
679.3278,680.5743,678.9488,679.1271,2295214,SPY,2026-03
679.1134,680.4533,679.0984,680.1954,1257231,SPY,2026-03
680.1854,681.4818,679.8677,681.3322,1706310,SPY,2026-03
681.3422,681.422,679.9959,680.6242,1633498,SPY,2026-03
680.6242,681.2225,680.0857,681.1128,1022195,SPY,2026-03
681.063,682.5688,680.0757,682.3494,1615794,SPY,2026-03
682.3694,683.0475,682.0004,682.3195,1628108,SPY,2026-03
682.3295,683.4314,682.3195,683.0272,1612277,SPY,2026-03
683.0425,683.4663,682.4292,682.7583,1424296,SPY,2026-03
682.7234,682.9378,681.6015,682.2497,1297335,SPY,2026-03
682.2497,682.5289,681.1826,681.5416,1021848,SPY,2026-03
681.5317,681.9804,680.6641,681.0829,983501,SPY,2026-03
681.1029,682.0891,680.5344,682.0403,1012860,SPY,2026-03
682.0303,682.4392,681.5616,682.4092,742453,SPY,2026-03
682.4392,682.9478,681.8707,682.2297,1043441,SPY,2026-03
682.2397,682.6286,681.3821,681.4718,729181,SPY,2026-03
681.4718,682.4092,681.2724,682.3195,775590,SPY,2026-03
682.2995,682.8081,681.7411,682.7882,846469,SPY,2026-03
682.7782,683.6857,682.5289,683.6059,848835,SPY,2026-03
683.6159,683.7755,683.2669,683.4065,1181967,SPY,2026-03
683.4065,683.4464,682.7707,682.8381,549158,SPY,2026-03
682.8081,683.0375,682.509,682.7583,569009,SPY,2026-03
682.7533,682.848,681.063,681.3322,1541475,SPY,2026-03
681.3322,682.0702,681.0331,681.9405,903638,SPY,2026-03
681.9705,683.2868,681.6314,683.2469,764873,SPY,2026-03
683.2569,684.6281,683.227,684.5433,1356907,SPY,2026-03
684.5533,685.0719,684.4137,684.5782,1058586,SPY,2026-03
684.5782,684.6595,684.0946,684.2242,924507,SPY,2026-03
684.2242,684.6231,684.0148,684.3389,552174,SPY,2026-03
684.3439,684.5034,683.955,684.4237,521683,SPY,2026-03
684.4037,684.7228,683.9849,684.2142,504101,SPY,2026-03
684.2142,684.5134,683.8153,684.4685,587566,SPY,2026-03
684.4735,685.1915,684.4286,685.1417,555932,SPY,2026-03
685.1417,685.2913,684.7926,685.1317,611732,SPY,2026-03
685.1417,685.1516,684.5573,684.5869,492179,SPY,2026-03
684.5832,684.8325,684.1943,684.2142,432097,SPY,2026-03
684.2142,684.7926,684.1843,684.3688,314790,SPY,2026-03
684.3738,684.9821,684.2541,684.7926,433395,SPY,2026-03
684.8026,685.1018,684.658,684.9223,430310,SPY,2026-03
684.9223,685.4109,684.7527,685.2464,490239,SPY,2026-03
685.2324,685.4109,684.8126,685.3211,418241,SPY,2026-03
685.3212,685.5206,685.1915,685.3212,363774,SPY,2026-03
685.3511,685.5106,685.032,685.032,297393,SPY,2026-03
685.027,685.1984,684.9323,685.1118,322571,SPY,2026-03
685.0918,685.1217,684.6431,684.663,296622,SPY,2026-03
684.673,684.7029,684.2045,684.5334,418415,SPY,2026-03
684.5234,684.9721,684.3439,684.8226,331219,SPY,2026-03
684.8525,684.9422,684.5383,684.663,361449,SPY,2026-03
684.663,684.668,684.1744,684.304,403188,SPY,2026-03
684.304,684.4386,683.8901,684.3539,497554,SPY,2026-03
684.3239,684.3389,683.4164,683.935,536318,SPY,2026-03
683.925,684.1145,683.6357,683.8253,343700,SPY,2026-03
683.8353,683.8552,683.3317,683.3865,658906,SPY,2026-03
683.3766,683.8453,683.2968,683.7655,620773,SPY,2026-03
683.7655,684.5832,683.6259,684.5433,512597,SPY,2026-03
684.5533,685.0918,684.4935,685.032,665979,SPY,2026-03
685.032,685.8896,685.032,685.7799,1021960,SPY,2026-03
685.7749,686.3084,685.7251,685.7998,844104,SPY,2026-03
685.7922,686.3782,685.6503,686.2985,563988,SPY,2026-03
686.3084,686.6474,686.2287,686.468,846316,SPY,2026-03
686.458,686.7173,686.3384,686.3533,648880,SPY,2026-03
686.3483,686.5478,686.0691,686.1589,499571,SPY,2026-03
686.1589,686.5079,686.1389,686.3583,358331,SPY,2026-03
686.3583,686.6276,686.1987,686.5578,342934,SPY,2026-03
686.5577,686.6176,686.2386,686.2935,448546,SPY,2026-03
686.2885,686.4281,685.9744,686.1239,571510,SPY,2026-03
686.1389,686.2586,684.0647,684.292,2559326,SPY,2026-03
684.294,684.3239,683.227,683.3666,2572802,SPY,2026-03
683.3666,684.6829,682.9976,684.1444,2116118,SPY,2026-03
684.1744,684.4037,683.5466,683.7356,1128601,SPY,2026-03
683.7356,684.1544,683.3466,683.4563,1070421,SPY,2026-03
683.4563,684.1943,683.3068,684.1245,753924,SPY,2026-03
684.1245,684.5134,683.7256,684.1943,866975,SPY,2026-03
684.1943,684.3987,683.6658,684.3339,760141,SPY,2026-03
684.3239,684.7827,684.0696,684.4336,1324875,SPY,2026-03
684.4436,684.8624,684.0846,684.8425,1952374,SPY,2026-03
684.8624,685.4109,684.4286,684.4735,7033020,SPY,2026-03
673.1948,674.571,672.5765,672.6762,4161485,SPY,2026-03
672.6862,675.2291,672.2624,673.8928,2703796,SPY,2026-03
673.8928,674.1272,671.3599,671.5792,1851892,SPY,2026-03
671.5792,672.9355,670.602,670.6119,2672196,SPY,2026-03
670.6319,672.067,670.3925,671.4197,2450627,SPY,2026-03
671.3997,671.6191,670.0934,670.5222,1508689,SPY,2026-03
670.5022,672.0679,669.9238,670.3227,2403287,SPY,2026-03
670.3028,671.3798,669.7743,670.4923,1958860,SPY,2026-03
670.4923,671.6989,669.8341,670.7815,1921838,SPY,2026-03
670.7615,671.0906,669.0263,669.2058,2741077,SPY,2026-03
669.2058,669.2557,668.0191,668.5975,2081225,SPY,2026-03
668.5975,668.767,667.8097,667.9992,1915481,SPY,2026-03
667.9992,670.018,667.9294,669.1759,2044375,SPY,2026-03
669.1959,670.3726,668.9665,669.8441,1244163,SPY,2026-03
669.8241,670.6418,669.1061,669.3754,2181476,SPY,2026-03
669.3754,670.3128,668.8767,669.455,1224148,SPY,2026-03
669.4053,669.7443,668.4878,668.7571,1099757,SPY,2026-03
668.7471,670.2529,668.6773,670.1233,1413640,SPY,2026-03
670.1033,671.6889,669.8939,671.5992,1562856,SPY,2026-03
671.6092,673.0552,671.5593,672.6762,1680163,SPY,2026-03
672.7061,673.4142,672.377,673.1649,1064513,SPY,2026-03
673.1649,674.3017,673.1349,673.4142,1235355,SPY,2026-03
673.4241,674.5261,673.115,674.4812,1360299,SPY,2026-03
674.4613,674.7106,673.9327,674.1521,1113700,SPY,2026-03
674.1322,674.212,672.7959,673.9228,1066203,SPY,2026-03
673.9128,674.7006,673.6834,674.212,1142526,SPY,2026-03
674.1873,674.9798,673.3942,674.8103,1102458,SPY,2026-03
674.8203,676.5754,674.761,675.7278,1836492,SPY,2026-03
675.7278,676.0967,675.3588,676.0469,847915,SPY,2026-03
676.0768,676.4158,675.4884,675.6879,798025,SPY,2026-03
675.6978,676.0469,674.92,675.5682,837145,SPY,2026-03
675.5682,675.9571,674.7804,674.8999,701174,SPY,2026-03
674.93,675.2989,674.5012,675.2391,562603,SPY,2026-03
675.2591,675.8275,674.7804,675.7078,449448,SPY,2026-03
675.7078,676.4059,675.0397,676.3959,625951,SPY,2026-03
676.4059,676.6153,675.8674,676.4458,611312,SPY,2026-03
676.4458,676.4857,674.4463,674.6308,813043,SPY,2026-03
674.6408,675.2491,674.212,674.91,622291,SPY,2026-03
674.91,676.5355,674.8701,676.4158,613844,SPY,2026-03
676.3859,676.5993,675.8075,676.3859,616653,SPY,2026-03
676.3959,676.4358,675.0347,675.1992,674050,SPY,2026-03
675.1793,675.8773,675.0097,675.5483,412435,SPY,2026-03
675.5183,676.9045,675.5084,676.5455,597168,SPY,2026-03
676.5754,677.0341,676.2962,676.9344,398125,SPY,2026-03
676.9344,677.0142,675.7477,676.1965,520099,SPY,2026-03
676.2165,676.9444,676.1665,676.7848,377755,SPY,2026-03
