market_id,horizon,question,slug,total_n_obs,early_n_obs,early_obs_share,total_time_seconds,early_time_seconds,early_time_share,early_first_probability,early_last_probability,early_mean_probability,early_std_probability,early_probability_range,early_realized_volatility,early_trend,early_distance_to_boundary,early_mean_distance_to_boundary,early_min_distance_to_boundary,early_near_boundary,outcome,final_probability,bayesian_fair_probability,mispricing,abs_mispricing,abs_surprise,cluster,market_regime,early_max_drawdown,early_reversals,early_entropy,target
248594,0.25,"Will Hunter Biden be federally indicted by May 1, 2023?",will-hunter-biden-be-federally-indicted-by-may-1-2023,1826,457,0.2502738225629792,7163979.0,1825177.0,0.2547714056671579,0.5,0.15,0.32547045951859954,0.2253726147143117,0.8700000000000001,0.03455943628868212,-0.001319790163683793,0.15,0.29995623632385127,0.06,0,0,0.02,0.0384615384615384,0.0184615384615384,0.0184615384615384,0.02,0,Information Processing,0.935483870967742,8,0.6615632381579821,1
248594,0.5,"Will Hunter Biden be federally indicted by May 1, 2023?",will-hunter-biden-be-federally-indicted-by-may-1-2023,1826,913,0.5,7163979.0,3553194.0,0.4959805158557835,0.5,0.1,0.21454545454545454,0.1945705921022105,0.8700000000000001,0.02459383699680849,-0.0005372803601200316,0.1,0.20177437020810518,0.06,0,0,0.02,0.0384615384615384,0.0184615384615384,0.0184615384615384,0.02,0,Information Processing,0.935483870967742,24,0.6931471805599453,1
248594,0.75,"Will Hunter Biden be federally indicted by May 1, 2023?",will-hunter-biden-be-federally-indicted-by-may-1-2023,1826,1370,0.7502738225629791,7163979.0,5392799.0,0.752765886108823,0.5,0.06,0.1695985401459854,0.1712705052629659,0.88,0.020088593671345457,-0.0002942415541977042,0.06,0.1610875912408759,0.05,0,0,0.02,0.0384615384615384,0.0184615384615384,0.0184615384615384,0.02,0,Information Processing,0.9462365591397849,30,0.6899437584583995,1
249778,0.25,MLB: Cincinnati Reds vs. Pittsburgh Pirates 2023-04-02,mlb-cin-pit-2023-04-02,23,6,0.2608695652173913,100797.0,18011.0,0.17868587358750757,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0,1,0.55,0.6,0.0499999999999999,0.0499999999999999,0.4499999999999999,1,Anchored / Noisy,0.0,0,0.0,0
249778,0.5,MLB: Cincinnati Reds vs. Pittsburgh Pirates 2023-04-02,mlb-cin-pit-2023-04-02,23,12,0.5217391304347826,100797.0,43197.0,0.42855442126253757,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0,1,0.55,0.6,0.0499999999999999,0.0499999999999999,0.4499999999999999,1,Anchored / Noisy,0.0,0,0.0,0
249778,0.75,MLB: Cincinnati Reds vs. Pittsburgh Pirates 2023-04-02,mlb-cin-pit-2023-04-02,23,18,0.782608695652174,100797.0,82788.0,0.8213339682728653,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0,1,0.55,0.6,0.0499999999999999,0.0499999999999999,0.4499999999999999,1,Anchored / Noisy,0.0,0,0.0,0
250474,0.25,Did US GDP grow 2.5% or more in Q1 2023?,did-us-gdp-grow-2pt5-or-more-in-q1-2023,23,6,0.2608695652173913,86395.0,21622.0,0.2502691127958794,0.4,0.325,0.375,0.03872983346207417,0.07500000000000001,0.03354101966249685,-0.017142857142857144,0.325,0.375,0.325,0,0,0.36,0.3333333333333333,-0.0266666666666666,0.0266666666666666,0.36,1,Anchored / Noisy,0.18750000000000003,0,-0.0,0
250474,0.5,Did US GDP grow 2.5% or more in Q1 2023?,did-us-gdp-grow-2pt5-or-more-in-q1-2023,23,12,0.5217391304347826,86395.0,46824.0,0.5419758087852307,0.4,0.315,0.3475000000000001,0.03899300636594395,0.08500000000000002,0.022512622721890533,-0.009335664335664337,0.315,0.3475000000000001,0.315,0,0,0.36,0.3333333333333333,-0.0266666666666666,0.0266666666666666,0.36,1,Anchored / Noisy,0.21250000000000005,0,-0.0,0
250474,0.75,Did US GDP grow 2.5% or more in Q1 2023?,did-us-gdp-grow-2pt5-or-more-in-q1-2023,23,18,0.782608695652174,86395.0,68383.0,0.7915157127148562,0.4,0.36,0.3544444444444445,0.0330280134613424,0.08500000000000002,0.023393217971429747,-0.0012590299277605793,0.36,0.3544444444444445,0.315,0,0,0.36,0.3333333333333333,-0.0266666666666666,0.0266666666666666,0.36,1,Anchored / Noisy,0.21250000000000005,2,0.5623351446188083,0
251025,0.25,"Will Ron DeSantis file to run for president by May 31, 2023?",will-ron-desantis-file-to-run-for-president-by-may-31-2023,212,53,0.25,766795.0,194396.0,0.25351756336439335,0.5,0.97,0.7020754716981132,0.12636346372158183,0.695,0.06546244591395671,0.0064731494920174165,0.030000000000000027,0.2807547169811321,0.030000000000000027,1,1,0.995,0.9,-0.0949999999999999,0.0949999999999999,0.005,0,Information Processing,0.6099290780141844,10,0.5253213195155949,1
